time [s]	pressure [bar]	temperature [K]	mass [kg]
0.402844	15.132482	2803.781611	0.001058
0.402850	15.136583	2804.006455	0.001058
0.402856	15.140695	2804.231800	0.001059
0.402861	15.144818	2804.457646	0.001059
0.402867	15.148952	2804.683994	0.001059
0.402872	15.153097	2804.910843	0.001059
0.402878	15.157253	2805.138193	0.001059
0.402883	15.161420	2805.366044	0.001060
0.402889	15.165598	2805.594396	0.001060
0.402894	15.169787	2805.823248	0.001060
0.402900	15.173987	2806.052602	0.001060
0.402906	15.178198	2806.282456	0.001060
0.402911	15.182419	2806.512811	0.001061
0.402917	15.186652	2806.743666	0.001061
0.402922	15.190896	2806.975021	0.001061
0.402928	15.195151	2807.206877	0.001061
0.402933	15.199417	2807.439234	0.001061
0.402939	15.203694	2807.672090	0.001062
0.402944	15.207982	2807.905447	0.001062
0.402950	15.212281	2808.139303	0.001062
0.402956	15.216591	2808.373659	0.001062
0.402961	15.220912	2808.608516	0.001062
0.402967	15.225245	2808.843872	0.001063
0.402972	15.229588	2809.079727	0.001063
0.402978	15.233943	2809.316082	0.001063
0.402983	15.238309	2809.552937	0.001063
0.402989	15.242685	2809.790290	0.001064
0.402994	15.247074	2810.028143	0.001064
0.403000	15.251473	2810.266495	0.001064
0.403006	15.255883	2810.505347	0.001064
0.403011	15.260305	2810.744697	0.001064
0.403017	15.264737	2810.984546	0.001065
0.403022	15.269181	2811.224893	0.001065
0.403028	15.273636	2811.465739	0.001065
0.403033	15.278103	2811.707084	0.001065
0.403039	15.282580	2811.948927	0.001065
0.403044	15.287069	2812.191268	0.001066
0.403050	15.291569	2812.434108	0.001066
0.403056	15.296081	2812.677446	0.001066
0.403061	15.300603	2812.921281	0.001066
0.403067	15.305137	2813.165614	0.001067
0.403072	15.309683	2813.410445	0.001067
0.403078	15.314239	2813.655774	0.001067
0.403083	15.318807	2813.901600	0.001067
0.403089	15.323386	2814.147923	0.001068
0.403094	15.327977	2814.394744	0.001068
0.403100	15.332578	2814.642062	0.001068
0.403106	15.337192	2814.889876	0.001068
0.403111	15.341816	2815.138188	0.001068
0.403117	15.346452	2815.386996	0.001069
0.403122	15.351100	2815.636301	0.001069
0.403128	15.355758	2815.886102	0.001069
0.403133	15.360428	2816.136400	0.001069
0.403139	15.365110	2816.387194	0.001070
0.403144	15.369803	2816.638483	0.001070
0.403150	15.374507	2816.890269	0.001070
0.403156	15.379223	2817.142551	0.001070
0.403161	15.383951	2817.395328	0.001070
0.403167	15.388689	2817.648601	0.001071
0.403172	15.393440	2817.902369	0.001071
0.403178	15.398201	2818.156632	0.001071
0.403183	15.402975	2818.411390	0.001071
0.403189	15.407759	2818.666644	0.001072
0.403194	15.412556	2818.922392	0.001072
0.403200	15.417363	2819.178635	0.001072
0.403206	15.422183	2819.435372	0.001072
0.403211	15.427014	2819.692603	0.001073
0.403217	15.431856	2819.950329	0.001073
0.403222	15.436710	2820.208549	0.001073
0.403228	15.441576	2820.467262	0.001073
0.403233	15.446453	2820.726470	0.001074
0.403239	15.451342	2820.986171	0.001074
0.403244	15.456242	2821.246365	0.001074
0.403250	15.461154	2821.507052	0.001074
0.403256	15.466078	2821.768233	0.001075
0.403261	15.471013	2822.029906	0.001075
0.403267	15.475960	2822.292073	0.001075
0.403272	15.480919	2822.554731	0.001075
0.403278	15.485889	2822.817883	0.001076
0.403283	15.490871	2823.081526	0.001076
0.403289	15.495865	2823.345661	0.001076
0.403294	15.500870	2823.610289	0.001076
0.403300	15.505887	2823.875408	0.001076
0.403306	15.510916	2824.141018	0.001077
0.403311	15.515957	2824.407120	0.001077
0.403317	15.521009	2824.673713	0.001077
0.403322	15.526073	2824.940797	0.001077
0.403328	15.531149	2825.208372	0.001078
0.403333	15.536236	2825.476438	0.001078
0.403339	15.541336	2825.744994	0.001078
0.403344	15.546447	2826.014040	0.001078
0.403350	15.551570	2826.283576	0.001079
0.403356	15.556705	2826.553602	0.001079
0.403361	15.561851	2826.824117	0.001079
0.403367	15.567010	2827.095123	0.001080
0.403372	15.572180	2827.366617	0.001080
0.403378	15.577362	2827.638600	0.001080
0.403383	15.582556	2827.911073	0.001080
0.403389	15.587762	2828.184034	0.001081
0.403394	15.592980	2828.457483	0.001081
0.403400	15.598209	2828.731421	0.001081
0.403406	15.603451	2829.005846	0.001081
0.403411	15.608705	2829.280760	0.001082
0.403417	15.613970	2829.556161	0.001082
0.403422	15.619247	2829.832049	0.001082
0.403428	15.624537	2830.108425	0.001082
0.403433	15.629838	2830.385288	0.001083
0.403439	15.635151	2830.662637	0.001083
0.403444	15.640476	2830.940473	0.001083
0.403450	15.645813	2831.218796	0.001083
0.403456	15.651163	2831.497604	0.001084
0.403461	15.656524	2831.776898	0.001084
0.403467	15.661897	2832.056678	0.001084
0.403472	15.667282	2832.336943	0.001084
0.403478	15.672680	2832.617694	0.001085
0.403483	15.678089	2832.898929	0.001085
0.403489	15.683510	2833.180649	0.001085
0.403494	15.688944	2833.462854	0.001086
0.403500	15.694389	2833.745543	0.001086
0.403506	15.699847	2834.028715	0.001086
0.403511	15.705316	2834.312372	0.001086
0.403517	15.710798	2834.596512	0.001087
0.403522	15.716292	2834.881135	0.001087
0.403528	15.721798	2835.166241	0.001087
