time [s]	pressure [bar]	temperature [K]	mass [kg]
0.402539	2.636884	2483.120845	0.000208
0.402544	2.635592	2482.848048	0.000208
0.402550	2.634302	2482.575614	0.000208
0.402556	2.633014	2482.303543	0.000208
0.402561	2.631729	2482.031836	0.000208
0.402567	2.630445	2481.760492	0.000208
0.402572	2.629164	2481.489512	0.000208
0.402578	2.627886	2481.218896	0.000208
0.402583	2.626609	2480.948644	0.000208
0.402589	2.625335	2480.678757	0.000207
0.402594	2.624062	2480.409233	0.000207
0.402600	2.622792	2480.140074	0.000207
0.402606	2.621525	2479.871279	0.000207
0.402611	2.620259	2479.602849	0.000207
0.402617	2.618996	2479.334784	0.000207
0.402622	2.617735	2479.067084	0.000207
0.402628	2.616476	2478.799749	0.000207
0.402633	2.615219	2478.532779	0.000207
0.402639	2.613964	2478.266174	0.000207
0.402644	2.612712	2477.999935	0.000207
0.402650	2.611462	2477.734061	0.000207
0.402656	2.610214	2477.468552	0.000207
0.402661	2.608968	2477.203410	0.000206
0.402667	2.607725	2476.938633	0.000206
0.402672	2.606483	2476.674222	0.000206
0.402678	2.605244	2476.410177	0.000206
0.402683	2.604007	2476.146499	0.000206
0.402689	2.602772	2475.883186	0.000206
0.402694	2.601539	2475.620240	0.000206
0.402700	2.600309	2475.357660	0.000206
0.402706	2.599081	2475.095447	0.000206
0.402711	2.597855	2474.833601	0.000206
0.402717	2.596631	2474.572121	0.000206
0.402722	2.595409	2474.311008	0.000206
0.402728	2.594189	2474.050262	0.000206
0.402733	2.592972	2473.789883	0.000205
0.402739	2.591757	2473.529870	0.000205
0.402744	2.590543	2473.270226	0.000205
0.402750	2.589332	2473.010948	0.000205
0.402756	2.588124	2472.752037	0.000205
0.402761	2.586917	2472.493494	0.000205
0.402767	2.585713	2472.235319	0.000205
0.402772	2.584510	2471.977511	0.000205
0.402778	2.583310	2471.720070	0.000205
0.402783	2.582112	2471.462997	0.000205
0.402789	2.580917	2471.206292	0.000205
0.402794	2.579723	2470.949955	0.000205
0.402800	2.578531	2470.693986	0.000205
0.402806	2.577342	2470.438384	0.000205
0.402811	2.576155	2470.183151	0.000204
0.402817	2.574970	2469.928285	0.000204
0.402822	2.573787	2469.673788	0.000204
0.402828	2.572606	2469.419659	0.000204
0.402833	2.571427	2469.165898	0.000204
0.402839	2.570251	2468.912506	0.000204
0.402844	2.569076	2468.659482	0.000204
0.402850	2.567904	2468.406826	0.000204
0.402856	2.566734	2468.154539	0.000204
0.402861	2.565566	2467.902620	0.000204
0.402867	2.564400	2467.651070	0.000204
0.402872	2.563237	2467.399888	0.000204
0.402878	2.562075	2467.149075	0.000204
0.402883	2.560916	2466.898631	0.000204
0.402889	2.559758	2466.648555	0.000203
0.402894	2.558603	2466.398848	0.000203
0.402900	2.557450	2466.149510	0.000203
0.402906	2.556299	2465.900541	0.000203
0.402911	2.555150	2465.651941	0.000203
0.402917	2.554003	2465.403710	0.000203
0.402922	2.552859	2465.155847	0.000203
0.402928	2.551716	2464.908354	0.000203
0.402933	2.550576	2464.661229	0.000203
0.402939	2.549437	2464.414474	0.000203
0.402944	2.548301	2464.168087	0.000203
0.402950	2.547167	2463.922070	0.000203
0.402956	2.546035	2463.676422	0.000203
0.402961	2.544905	2463.431143	0.000203
0.402967	2.543777	2463.186233	0.000202
0.402972	2.542652	2462.941692	0.000202
0.402978	2.541528	2462.697520	0.000202
0.402983	2.540407	2462.453718	0.000202
0.402989	2.539287	2462.210285	0.000202
0.402994	2.538170	2461.967221	0.000202
0.403000	2.537055	2461.724526	0.000202
0.403006	2.535941	2461.482200	0.000202
0.403011	2.534830	2461.240244	0.000202
0.403017	2.533721	2460.998657	0.000202
0.403022	2.532614	2460.757439	0.000202
0.403028	2.531509	2460.516591	0.000202
0.403033	2.530407	2460.276112	0.000202
0.403039	2.529306	2460.036002	0.000202
0.403044	2.528207	2459.796262	0.000202
0.403050	2.527111	2459.556890	0.000201
0.403056	2.526016	2459.317888	0.000201
0.403061	2.524924	2459.079256	0.000201
0.403067	2.523834	2458.840992	0.000201
